18:30:14 : MINOR | Session ID: 0
18:30:14 : DEBUG | Received self id : 80d932161f
18:30:18 : MAJOR | Spawning player with id : 80d932161f which is self, with NB: 1
18:30:18 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
18:30:18 : MAJOR | Spawning player with id : 1cfb72dd0d, with NB: 2
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
18:30:18 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
18:30:23 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
18:30:23 : DEBUG | Spawning mob with id : 7153be2667
