17:58:08 : MINOR | Session ID: 0
17:58:08 : DEBUG | Received self id : 26b72ef22d
17:58:08 : MAJOR | Spawning player with id : 3da6f48663, with NB: 1
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:58:08 : MAJOR | Spawning player with id : 3da6f48663, with NB: 1
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:58:08 : MAJOR | Spawning player with id : 26b72ef22d which is self, with NB: 2
17:58:08 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:58:08 : MAJOR | Spawning player with id : 26b72ef22d which is self, with NB: 2
17:58:08 : DEBUG | In component 'PlayerShooterIM': Ref named 'gameManager': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'manager': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'networker': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Score': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerManager': Ref named 'Lifes': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerAnimator': Ref named 'Weapon': has missing value or not found
17:58:08 : DEBUG | In component 'PlayerMoverIM': Ref named 'gameManager': has missing value or not found
17:58:13 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:58:13 : DEBUG | Spawning projectile with id : 3c0dd8bd5f
17:58:13 : DEBUG | In component 'ProjectileNM': Ref named 'networkManager': has missing value or not found
17:58:13 : DEBUG | Spawning projectile with id : 3c0dd8bd5f
17:58:13 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:58:13 : DEBUG | Spawning mob with id : e7a5e93010
17:58:13 : DEBUG | In component 'MobNM': Ref named 'manager': has missing value or not found
17:58:13 : DEBUG | Spawning mob with id : e7a5e93010
